productoId,productoNombre,productoDescripcion,precio
product00001,Funda Celular Blanca,Funda de silicon para proteger celular,150
product00002,Protector Pantalla Celular,Protector de Cristal Templado para proteger pantalla,250
product00003,Funda Celular Blanca,Funda de silicon para proteger celular,150
product00004,Cargador Portátil,Batería externa para cargar celular,400
product00005,Audífonos Inalámbricos,Audífonos Bluetooth para escuchar música,800
product00006,Bocina Bluetooth,Bocina portátil para reproducir música,500
product00007,Smartwatch Deportivo,Reloj inteligente para monitorear actividad física,1200
product00008,Teclado Inalámbrico,Teclado Bluetooth para computadora,600
product00009,Mouse Inalámbrico,Mouse óptico inalámbrico,300
product00010,Cámara Web,Cámara para videollamadas,700
product00011,Anillo de Luz,Anillo de luz para mejorar iluminación en fotos y videos,450
product00012,Adaptador USB-C,Adaptador para conectar dispositivos USB a puertos USB-C,200
product00013,Cable USB-C,Cable para cargar y transferir datos,150
product00014,Micro SD 64GB,Tarjeta de memoria para expandir almacenamiento,350
product00015,Lector de Tarjetas SD,Lector de tarjetas para transferir fotos y videos,250
product00016,Hub USB,Hub con múltiples puertos USB,400
product00017,Soporte para celular,Soporte para celular para escritorio o coche,200
product00018,Protector de sobretensión,Protector para evitar daños por subidas de voltaje,300
product00019,Limpiador de pantalla,Kit de limpieza para pantallas de dispositivos electrónicos,150
product00020,Audífonos de diadema,Audífonos con cable para escuchar música,500
product00021,Bocina inteligente,Bocina con asistente virtual,1000
product00022,Smart TV Stick,Dispositivo para convertir TV en Smart TV,800
product00023,Router WiFi,Router inalámbrico para internet en casa,1200
product00024,Extensor de WiFi,Dispositivo para ampliar la señal WiFi,600
product00025,Disco duro externo,Disco duro portátil para almacenar archivos,1000
product00026,SSD 120GB,Unidad de estado sólido para mejorar velocidad de computadora,800
product00027,Memoria RAM 8GB,Módulo de memoria para computadora,500
product00028,Tarjeta de video,Tarjeta gráfica para juegos y diseño,2000
product00029,Fuente de poder,Fuente de alimentación para computadora,600
product00030,Gabinete para PC,Caja para componentes de computadora,800
product00031,Monitor 24 pulgadas,Monitor para computadora,1500
product00032,Impresora multifuncional,Impresora con funciones de impresión, escaneo y copiado,1200
product00033,Cámara digital,Cámara para tomar fotos y videos,1000
product00034,Drone,Drone con cámara para grabar videos aéreos,3000
product00035,Consola de videojuegos,Consola para jugar videojuegos,5000
product00036,Juego de video,Juego para consola de videojuegos,1000
product00037,Control para videojuegos,Control inalámbrico para consola de videojuegos,500
product00038,Volante para videojuegos,Volante con pedales para juegos de carreras,1500
product00039,Audífonos VR,Audífonos de realidad virtual,2000
product00040,Cargador para laptop,Cargador para computadora portátil,800
product00041,Batería para laptop,Batería de repuesto para computadora portátil,1000
product00042,Funda para laptop,Funda protectora para computadora portátil,500
product00043,Mochila para laptop,Mochila para transportar computadora portátil,800
product00044,Mousepad,Alfombrilla para mouse,200
product00045,Teclado para tablet,Teclado inalámbrico para tablet,500
product00046,Funda para tablet,Funda protectora para tablet,400
product00047,Lápiz óptico,Lápiz para dibujar y escribir en tablet,600
product00048,Adaptador de corriente,Adaptador para cargar dispositivos electrónicos,300
product00049,Cable HDMI,Cable para conectar dispositivos a pantallas,250
product00050,Cable Ethernet,Cable para conectar dispositivos a internet,200
